Date,P,Temp,E,Q
6/4/2005,2.91,8.42775,3.974,167.481875
6/5/2005,0.44,10.19165,3.998,158.6064583
6/6/2005,4.43,9.8,4.022,150.3047917
6/7/2005,23.07,6.16945,4.045,184.9458333
6/8/2005,0.82,6.10555,4.068,192.960625
6/9/2005,3.27,7.87225,4.09,150.3047917
6/10/2005,9.16,8.45835,4.112,145.1516667
6/11/2005,12.25,4.8889,4.133,146.5825
6/12/2005,6.95,3.45835,4.154,158.3195833
6/13/2005,1.21,7.925,4.173,144.8647917
6/14/2005,1.45,12.8,4.192,131.9802083
6/15/2005,8.95,10.90555,4.211,125.683125
6/16/2005,7.59,9.51945,4.229,138.8510417
6/17/2005,0.59,10.31385,4.246,136.85
6/18/2005,0.85,13.6611,4.263,121.9608333
6/19/2005,1.25,16.05835,4.279,113.9460417
6/20/2005,1.32,18.29725,4.294,109.936875
6/21/2005,8.7,14.6444,4.309,105.6408333
6/22/2005,12.14,5.2,4.323,123.6785417
6/23/2005,11.84,3.3389,4.337,124.2522917
6/24/2005,0.49,7.3972,4.349,115.376875
6/25/2005,1.14,11.4806,4.361,106.2145833
6/26/2005,3.14,15.38335,4.373,98.77
6/27/2005,0.27,13.6861,4.383,94.764375
6/28/2005,2.68,8.41945,4.394,90.46833333
6/29/2005,0.28,6.9361,4.403,86.74604167
6/30/2005,1.46,8.18335,4.412,80.73583333
7/1/2005,0.9,10.3222,4.42,74.72208333
7/2/2005,14.55,7.725,4.427,76.43979167
7/3/2005,8.32,7.25555,4.433,95.33458333
7/4/2005,4.5,8.2028,4.439,93.90375
7/5/2005,3.25,9.85555,4.445,87.31979167
7/6/2005,4.05,9.8278,4.449,83.02375
7/7/2005,7.23,8.7139,4.453,79.018125
7/8/2005,1.15,10.9778,4.456,79.305
7/9/2005,1.58,11.9333,4.459,73.865
7/10/2005,0.54,10.1778,4.46,68.99520833
7/11/2005,0.86,11.7361,4.461,65.55979167
7/12/2005,0.14,8.1389,4.462,61.55416667
7/13/2005,3.82,8.9306,4.461,59.26270833
7/14/2005,3.32,8.55555,4.46,61.26729167
7/15/2005,2.11,8.5056,4.458,58.68895833
7/16/2005,6.04,8.91665,4.456,55.82729167
7/17/2005,8.47,8.8028,4.453,56.68791667
7/18/2005,0.58,10.14445,4.449,56.11416667
7/19/2005,4.99,12.20555,4.444,52.105
7/20/2005,3.62,10.12775,4.439,51.53125
7/21/2005,0.48,9.9111,4.433,51.24791667
7/22/2005,5.74,9.01665,4.426,48.09583333
7/23/2005,6.07,9.8611,4.419,51.24791667
7/24/2005,3.35,11.12225,4.411,52.965625
7/25/2005,7.66,11.15,4.402,56.11416667
7/26/2005,6.94,10.32775,4.393,66.13354167
7/27/2005,0.39,13.43335,4.383,65.27645833
7/28/2005,0.12,17.4333,4.372,56.40104167
7/29/2005,0.35,16.11945,4.361,48.66958333
7/30/2005,0.03,13.58335,4.349,44.37708333
7/31/2005,0,11.85275,4.336,41.79875
8/1/2005,0.06,13.50555,4.322,39.50729167
8/2/2005,0.05,14.8222,4.308,37.78958333
8/3/2005,0,15.6056,4.294,35.785
8/4/2005,2.66,16.79725,4.278,34.35416667
8/5/2005,0.78,15.7,4.262,33.49708333
8/6/2005,0.03,15.6667,4.245,32.34958333
8/7/2005,0.24,16.0028,4.228,30.91875
8/8/2005,0.93,15.41945,4.21,29.48791667
8/9/2005,0.46,16.70835,4.191,28.6025
8/10/2005,0.13,15.9722,4.172,27.37
8/11/2005,0.29,14.7139,4.152,26.0525
8/12/2005,1.16,14.01945,4.132,25.16354167
8/13/2005,0.19,14.05835,4.111,24.24979167
8/14/2005,5,14.2528,4.089,24.01958333
8/15/2005,16.04,12.05,4.067,28.6025
8/16/2005,4.91,10.5778,4.044,34.92791667
8/17/2005,4.61,10.1278,4.021,34.06729167
8/18/2005,0.58,12.85555,3.997,32.34958333
8/19/2005,2.02,16.58335,3.972,28.91416667
8/20/2005,3.24,15.93055,3.947,27.25666667
8/21/2005,3.44,11.90555,3.922,27.68520833
8/22/2005,0.49,13.39445,3.895,27.68520833
8/23/2005,0,12.725,3.869,25.42208333
8/24/2005,0.32,8.325,3.841,24.04791667
8/25/2005,0.12,5.98615,3.814,22.960625
8/26/2005,0.24,8.45835,3.785,22.131875
8/27/2005,0.27,9.92225,3.757,21.41645833
8/28/2005,4.26,7.52775,3.727,20.78604167
8/29/2005,2.47,6.81665,3.698,21.98666667
8/30/2005,0.32,9.1028,3.667,22.67375
8/31/2005,0.29,10.49445,3.637,21.24291667
9/1/2005,0.34,11.4111,3.606,20.09895833
9/2/2005,0,12.5472,3.574,19.38354167
9/3/2005,0,13.95835,3.542,18.923125
9/4/2005,0,14.48335,3.509,18.20770833
9/5/2005,0.01,13.56385,3.476,17.63395833
9/6/2005,0,13.3528,3.443,17.17708333
9/7/2005,0.04,13.54165,3.409,16.946875
9/8/2005,0,14.66665,3.375,16.54666667
9/9/2005,0,14.7778,3.341,16.08979167
9/10/2005,0.07,15.39445,3.306,15.66125
9/11/2005,1.95,12.81945,3.271,15.289375
9/12/2005,4.77,5.63055,3.235,15.74625
9/13/2005,0.53,5.3222,3.199,17.06375
9/14/2005,1.7,6.6833,3.163,17.20541667
9/15/2005,4.07,6.275,3.127,17.09208333
9/16/2005,0.42,6.69165,3.09,17.8075
9/17/2005,0.17,7.66665,3.053,17.350625
9/18/2005,0.01,7.95,3.015,16.32
9/19/2005,0.03,7.7972,2.977,15.71791667
9/20/2005,0.4,4.3528,2.939,15.289375
9/21/2005,0.08,2.12225,2.901,15.20083333
9/22/2005,0,4.1472,2.863,15.22916667
9/23/2005,0,5.87225,2.824,15.03083333
9/24/2005,0.19,7.3611,2.785,15.0025
9/25/2005,0.06,8.2528,2.746,14.9175
9/26/2005,0.12,9.24165,2.707,14.51375
9/27/2005,0.34,11.24445,2.667,14.19854167
9/28/2005,0,12.0222,2.627,13.886875
9/29/2005,0.27,12.38335,2.588,13.65666667
9/30/2005,0.2,12.06115,2.548,13.45479167
10/1/2005,0,10.64165,2.507,13.08291667
10/2/2005,0.03,10.60555,2.467,12.824375
10/3/2005,0.11,12.20555,2.427,12.71104167
10/4/2005,0,12.76115,2.386,12.62604167
10/5/2005,0.02,13.13615,2.346,12.48083333
10/6/2005,5.04,10.52225,2.305,12.33916667
10/7/2005,32.17,4.35555,2.264,19.32333333
10/8/2005,1.49,2.5028,2.224,23.07395833
10/9/2005,2.49,3.2861,2.183,19.81208333
10/10/2005,0.48,5.40275,2.142,16.66354167
10/11/2005,0.75,8.10275,2.101,15.63291667
10/12/2005,0.51,7.45555,2.06,15.22916667
10/13/2005,4.77,6.4639,2.02,15.22916667
10/14/2005,7.06,5.33055,1.979,16.51833333
10/15/2005,6.05,4.79445,1.938,18.80979167
10/16/2005,1.12,4.6556,1.897,19.86875
10/17/2005,0.24,3.95555,1.856,19.44020833
10/18/2005,0.07,3.3278,1.816,18.15104167
10/19/2005,2.18,2.42775,1.775,17.29041667
10/20/2005,0.04,2.45,1.735,17.49229167
10/21/2005,0.54,4.08335,1.694,16.861875
10/22/2005,0.09,5.49445,1.654,16.08979167
10/23/2005,0.22,7.05,1.614,15.88791667
10/24/2005,0.07,4.15275,1.574,15.48770833
10/25/2005,0.28,2.0639,1.534,15.0025
10/26/2005,0.09,1.80275,1.495,14.68729167
10/27/2005,1.9,3.25835,1.455,14.42875
10/28/2005,10.93,0.6861,1.416,16.17479167
10/29/2005,0.81,-1.5917,1.377,18.753125
10/30/2005,1.26,0.8389,1.338,16.80520833
10/31/2005,4.92,-0.54725,1.299,15.459375
11/1/2005,2.13,-2.07775,1.261,16.72020833
11/2/2005,0.99,-0.35,1.222,16.203125
11/3/2005,14.68,1.63055,1.184,15.34604167
11/4/2005,2.16,-1.7222,1.147,18.29270833
11/5/2005,0.83,-3.5528,1.109,17.66583333
11/6/2005,0.37,-3.9972,1.072,15.97645833
11/7/2005,0.23,-3.98055,1.035,14.45708333
11/8/2005,0.07,-3.06945,0.999,15.63291667
11/9/2005,0.95,-3.3111,0.963,14.31541667
11/10/2005,0,-0.1917,0.927,13.51145833
11/11/2005,0.07,-1.6889,0.891,14.65895833
11/12/2005,0.42,-4.86665,0.856,12.88458333
11/13/2005,2.17,-4.68885,0.821,12.62604167
11/14/2005,0.41,-5.99445,0.787,14.57395833
11/15/2005,1.27,-2.6361,0.753,12.85625
11/16/2005,1.85,-1.69725,0.719,13.25645833
11/17/2005,8.43,-1.62775,0.686,14.85729167
11/18/2005,5.24,-4.475,0.653,15.71791667
11/19/2005,0.28,-4.62775,0.62,14.65895833
11/20/2005,0.71,-4.40555,0.588,13.57166667
11/21/2005,3.97,-2.9,0.557,12.22583333
11/22/2005,10.78,-8.63885,0.526,12.91291667
11/23/2005,0.58,-16.3972,0.495,12.16916667
11/24/2005,1.48,-16.76945,0.465,8.560208333
11/25/2005,0.45,-14.0111,0.435,7.0125
11/26/2005,0.36,-11.02775,0.406,5.868541667
11/27/2005,2.33,-8.9278,0.377,6.870833333
11/28/2005,0.37,-3.61945,0.349,9.162291667
11/29/2005,3.35,-2.475,0.321,15.88791667
11/30/2005,6.78,-2.5611,0.294,20.4425
12/1/2005,16.34,-1.3472,0.267,19.38354167
12/2/2005,10.2,-2.375,0.241,21.04104167
12/3/2005,3.7,-1.7167,0.215,19.35520833
12/4/2005,12.06,-2.0917,0.19,19.01166667
12/5/2005,4.99,-5.5694,0.166,18.60791667
12/6/2005,1.13,-8.4722,0.142,16.405
12/7/2005,3.88,-5.2167,0.118,14.42875
12/8/2005,14.99,-1.56115,0.096,14.28708333
12/9/2005,3.65,-0.6778,0.073,17.03541667
12/10/2005,1.43,1.1,0.052,16.89020833
12/11/2005,1,1.4083,0.031,17.03541667
12/12/2005,2.61,-3.85275,0.01,18.264375
12/13/2005,0.42,-5.4111,0,16.66354167
12/14/2005,0.08,-3.38335,0,15.63291667
12/15/2005,0.33,-4.39165,0,15.0025
12/16/2005,0.05,-4.19725,0,14.85729167
12/17/2005,0.02,-5.03055,0,14.28708333
12/18/2005,0.29,-5.73335,0,14.00020833
12/19/2005,0.43,-6.4,0,13.886875
12/20/2005,0.86,-6.78615,0,13.6
12/21/2005,0.5,-6.38885,0,13.36979167
12/22/2005,3.23,-7.5,0,13.08291667
12/23/2005,0.2,-7.0056,0,12.68270833
12/24/2005,0.3,-5.54445,0,12.31083333
12/25/2005,0.32,-4.27225,0,11.30854167
12/26/2005,0.19,-4.15275,0,11.93895833
12/27/2005,0.5,-4.68055,0,13.25645833
12/28/2005,0.05,-5.9611,0,13.94354167
12/29/2005,0.43,-4.38055,0,12.824375
12/30/2005,4.24,-3.4167,0,11.76541667
12/31/2005,5.88,-2.5111,0,13.28479167
1/1/2006,23.34,-1.6972,0,15.03083333
1/2/2006,14.4,-1.29725,0,15.68958333
1/3/2006,7.48,0.19445,0,21.27125
1/4/2006,12.73,0.2639,0,21.15791667
1/5/2006,13.49,-1.94445,0,25.62395833
1/6/2006,2.04,-4.50275,0,23.47770833
1/7/2006,0.87,-5.0889,0,19.69875
1/8/2006,4.86,-2.6333,0,18.12270833
1/9/2006,7.75,-1.45,0,17.7225
1/10/2006,1.12,-1.0639,0,17.8075
1/11/2006,7.17,-1.0028,0,17.8925
1/12/2006,4.53,0.19725,0,18.80979167
1/13/2006,7.54,1.0361,0,22.44708333
1/14/2006,1.56,1.9417,0,27.91541667
1/15/2006,5.36,0.34165,0,27.77020833
1/16/2006,1.64,-1.1667,0,26.45270833
1/17/2006,0.31,0.34725,0,24.01958333
1/18/2006,0.1,0.0139,0,22.386875
1/19/2006,0,0.3389,0,20.92770833
1/20/2006,0.05,0.24165,0,19.81208333
1/21/2006,0.05,-0.3556,0,18.55125
1/22/2006,0,1.2722,0,18.23604167
1/23/2006,0.27,0.73055,0,18.38125
1/24/2006,0,0.55275,0,18.20770833
1/25/2006,0.06,-1.2472,0,17.94916667
1/26/2006,2,-2.78055,0,17.92083333
1/27/2006,1.98,-2.76665,0,17.94916667
1/28/2006,0.28,-4.45835,0,17.350625
1/29/2006,0.61,-5.5611,0,16.033125
1/30/2006,0.27,-7.46665,0,15.544375
1/31/2006,0.15,-8.6278,0,14.11354167
2/1/2006,0.01,-8.46945,0,11.68041667
2/2/2006,0.06,-6.75835,0,10.04770833
2/3/2006,0,-6.88055,0,11.36520833
2/4/2006,0,-7.36385,0,12.739375
2/5/2006,0.51,-6.5278,0,12.88458333
2/6/2006,0.34,-5.2389,0,13.36979167
2/7/2006,1.89,-11.7111,0,15.51604167
2/8/2006,0.71,-13.71115,0,12.85625
2/9/2006,11.14,-9.94445,0.012,12.48083333
2/10/2006,3.02,-6.93335,0.032,14.630625
2/11/2006,1.77,-8.0472,0.053,15.88791667
2/12/2006,0.77,-5.075,0.075,16.033125
2/13/2006,4.87,-3.5361,0.097,15.66125
2/14/2006,3.2,-2.82225,0.12,15.1725
2/15/2006,0.38,-1.63335,0.143,14.74395833
2/16/2006,1.38,0.30835,0.167,14.54208333
2/17/2006,3.93,1.23335,0.192,14.60229167
2/18/2006,2.71,-2.9861,0.217,16.29166667
2/19/2006,2.55,-5.01665,0.242,15.26104167
2/20/2006,1.54,-3.78335,0.269,14.34375
2/21/2006,2.16,-2.70275,0.295,13.971875
2/22/2006,6.56,-3.81665,0.323,14.11354167
2/23/2006,37.4,-4.7722,0.35,15.14416667
2/24/2006,11.19,-7.425,0.379,15.77458333
2/25/2006,11.65,-6.5583,0.407,14.77229167
2/26/2006,3.82,-2.06665,0.437,14.42875
2/27/2006,7.29,-0.8,0.466,17.06375
2/28/2006,5.52,-0.59445,0.497,18.80979167
3/1/2006,2.62,3.8111,0.527,22.53208333
3/2/2006,0.36,5.35555,0.558,30.06166667
3/3/2006,1.34,3.71945,0.59,35.785
3/4/2006,12.5,1.09445,0.622,50.10041667
3/5/2006,0.3,-2.1278,0.655,56.11416667
3/6/2006,0,-2.90835,0.687,47.23875
3/7/2006,0.35,-3.9028,0.721,39.79416667
3/8/2006,0,-2.41945,0.754,35.50166667
3/9/2006,0.81,-0.31665,0.789,32.92333333
3/10/2006,1.09,-0.4361,0.823,31.779375
3/11/2006,2.92,-0.4889,0.858,31.4925
3/12/2006,0.38,1.21665,0.893,29.77479167
3/13/2006,0.4,3.8278,0.929,29.48791667
3/14/2006,0.1,4.76115,0.965,30.91875
3/15/2006,0.16,6.5306,1.001,35.21479167
3/16/2006,4.4,3.4361,1.037,42.659375
3/17/2006,7.13,-0.6889,1.074,48.09583333
3/18/2006,10.09,1.3583,1.111,46.665
3/19/2006,4.78,-3.1889,1.149,49.24333333
3/20/2006,6.56,-3.08055,1.187,45.52104167
3/21/2006,13.58,-3.2028,1.225,45.23416667
3/22/2006,1.42,-5.53055,1.263,42.659375
3/23/2006,1.11,-4.35835,1.301,40.08104167
3/24/2006,0.48,-4.45,1.34,37.50625
3/25/2006,0.81,-2.7361,1.379,35.50166667
3/26/2006,0.16,-0.5389,1.418,34.64104167
3/27/2006,0.34,1.52225,1.457,34.92791667
3/28/2006,0,2.4028,1.497,35.21479167
3/29/2006,0.24,3.49725,1.536,38.07645833
3/30/2006,0.09,5.79445,1.576,41.225
3/31/2006,0.03,5.7472,1.616,46.951875
4/1/2006,0.2,4.3361,1.656,53.53583333
4/2/2006,0.54,5.90835,1.697,59.26270833
4/3/2006,15.07,2.04725,1.737,76.43979167
4/4/2006,9.75,-0.2083,1.778,82.16666667
4/5/2006,3.36,0.125,1.818,75.00895833
4/6/2006,15.74,0.9361,1.859,72.14729167
4/7/2006,5.34,0.2722,1.899,73.29125
4/8/2006,0.89,1.70275,1.94,68.99520833
4/9/2006,3.17,3.1528,1.981,67.85125
4/10/2006,0.47,3.64725,2.022,68.138125
4/11/2006,0.58,4.93335,2.063,70.14270833
4/12/2006,7.93,3.71115,2.104,77.01354167
4/13/2006,2.83,1.1389,2.144,84.458125
4/14/2006,4.2,0.1,2.185,81.59291667
4/15/2006,1.14,4.8361,2.226,75.58270833
4/16/2006,0.25,10.44725,2.267,81.30604167
4/17/2006,0.58,12.2889,2.307,106.7883333
4/18/2006,0.55,12.38055,2.348,158.0327083
4/19/2006,0.14,11.29165,2.389,212.4291667
4/20/2006,0.73,11.51385,2.429,256.2325
4/21/2006,2.16,10.9306,2.469,284.5764583
4/22/2006,17.89,4.95275,2.51,340.690625
4/23/2006,4.12,5.93335,2.55,320.6483333
4/24/2006,11.32,5.86945,2.59,292.0210417
4/25/2006,6.02,2.18335,2.63,273.9833333
4/26/2006,0.18,0.86945,2.669,225.31375
4/27/2006,0.09,1.2278,2.709,191.8166667
4/28/2006,0.11,0.6972,2.748,170.6304167
4/29/2006,0.58,3.14725,2.787,155.4579167
4/30/2006,5.78,4.8139,2.826,148.5870833
5/1/2006,1.04,3.6361,2.865,148.3002083
5/2/2006,0.37,5.2333,2.903,142.003125
5/3/2006,0.83,6.78055,2.942,139.7116667
5/4/2006,5.24,6.70835,2.98,145.4385417
5/5/2006,0.76,8.925,3.017,160.0372917
5/6/2006,0.25,9.97775,3.055,180.3664583
5/7/2006,0.1,12.5028,3.092,199.548125
5/8/2006,0,13.64725,3.129,237.0508333
5/9/2006,0.27,13.99445,3.165,270.2610417
5/10/2006,0,13.1028,3.201,286.2941667
5/11/2006,0.96,13.90555,3.237,270.5479167
5/12/2006,1.53,11.2,3.273,289.1558333
5/13/2006,0,7.16945,3.308,262.24625
5/14/2006,0.1,7.2833,3.343,214.146875
5/15/2006,1.51,7.9583,3.377,193.534375
5/16/2006,1.8,5.60555,3.411,185.5195833
5/17/2006,15.41,3.78055,3.445,171.2041667
5/18/2006,6.07,6.0361,3.478,168.055625
5/19/2006,7.9,6.07225,3.511,159.1802083
5/20/2006,10.09,5.45555,3.544,154.5972917
5/21/2006,3.06,6.8472,3.576,154.5972917
5/22/2006,2.93,7.6028,3.607,147.443125
5/23/2006,0.91,9.6528,3.638,139.9985417
5/24/2006,0.19,11.90555,3.669,137.1333333
5/25/2006,0.24,13.69725,3.699,138.8510417
5/26/2006,3.01,13.71665,3.729,140.2854167
5/27/2006,2.11,7.3,3.758,148.5870833
5/28/2006,6.15,6.175,3.787,133.4145833
5/29/2006,9.93,5.2083,3.815,142.5733333
5/30/2006,1.31,8.225,3.843,148.0133333
5/31/2006,7.33,8.88615,3.87,124.2522917
6/1/2006,8.03,6.225,3.897,137.1333333
6/2/2006,1.59,9.0139,3.923,138.8510417
6/3/2006,3.52,12.9389,3.949,121.3870833
6/4/2006,5.25,9.6028,3.974,125.683125
6/5/2006,1.4,11.525,3.998,122.8214583
6/6/2006,5.23,7.6361,4.022,115.09
6/7/2006,4.62,4.25555,4.045,116.5208333
6/8/2006,3.32,4.77225,4.068,108.7929167
6/9/2006,0.78,7.3667,4.09,99.9175
6/10/2006,1.09,10.59445,4.112,90.75520833
6/11/2006,1.89,12.7139,4.133,85.60208333
6/12/2006,6.72,13.3917,4.154,84.74145833
6/13/2006,37.35,7.19165,4.173,131.696875
6/14/2006,7.85,3.49445,4.192,227.8885417
6/15/2006,3.07,5.26945,4.211,166.0510417
6/16/2006,9.82,5.1361,4.229,157.749375
6/17/2006,1.33,8.50555,4.246,151.161875
6/18/2006,0.2,10.24445,4.263,134.5585417
6/19/2006,0.23,11.96945,4.279,124.5391667
6/20/2006,1.18,17.15835,4.294,115.66375
6/21/2006,0,17.87775,4.309,109.65
6/22/2006,0.34,18.1028,4.323,103.923125
6/23/2006,0.07,17.575,4.337,97.91291667
6/24/2006,0,14.16385,4.349,90.18145833
6/25/2006,0.31,14.54445,4.361,83.5975
6/26/2006,2.04,8.35275,4.373,80.44895833
6/27/2006,0.71,10.975,4.383,79.58833333
6/28/2006,0.09,15.1111,4.394,71.28666667
6/29/2006,0,15.7639,4.403,65.84666667
6/30/2006,0.02,16.00835,4.412,61.84104167
7/1/2006,0.53,15.32225,4.42,58.11875
7/2/2006,2.13,10.25555,4.427,55.82729167
7/3/2006,0.54,7.7889,4.433,54.68333333
